name,number,sex,year
Daisy,106,Female,2019
Lincoln,145,Male,2019
Claire,105,Female,2019
Gabriel,142,Male,2019
Ayla,105,Female,2019
Jordan,136,Male,2019
Sarah,103,Female,2019
Nicholas,133,Male,2019
Piper,103,Female,2019
Zachary,133,Male,2019
Harriet,103,Female,2019
Flynn,131,Male,2019
Lara,102,Female,2019
Matthew,131,Male,2019
Bella,101,Female,2019
Leon,130,Male,2019
Anna,99,Female,2019
Christian,128,Male,2019
Savannah,95,Female,2019
Patrick,127,Male,2019
Summer,94,Female,2019
Angus,124,Male,2019
Rose,94,Female,2019
Beau,123,Male,2019
Imogen,94,Female,2019
Owen,122,Male,2019
Alyssa,93,Female,2019
Ali,119,Male,2019
Olive,91,Female,2019
Asher,114,Male,2019
Charlie,91,Female,2019
Bodhi,111,Male,2019
Sadie,90,Female,2019
Luke,111,Male,2019
Bonnie,90,Female,2019
Dylan,110,Male,2019
Aaliyah,90,Female,2019
Felix,110,Male,2019
Eloise,87,Female,2019
Charles,108,Male,2019
Riley,86,Female,2019
Jude,108,Male,2019
Leah,86,Female,2019
Marcus,108,Male,2019
Victoria,85,Female,2019
Luka,105,Male,2019
Valentina,84,Female,2019
Aaron,103,Male,2019
Maddison,84,Female,2019
Elias,103,Male,2019
Lola,84,Female,2019
Tyler,102,Male,2019
Indiana,83,Female,2019
Sonny,101,Male,2019
Eden,81,Female,2019
Dominic,100,Male,2019
Isabel,80,Female,2019
Leonardo,99,Male,2019
Rosie,79,Female,2019
Reuben,97,Male,2019
Millie,76,Female,2019
Toby,97,Male,2019
Clara,76,Female,2019
Ezra,96,Male,2019
Alexis,76,Female,2019
Hamish,96,Male,2019
Quinn,74,Female,2019
Nathaniel,96,Male,2019
Gabriella,74,Female,2019
John,95,Male,2019
Peyton,72,Female,2019
Spencer,95,Male,2019
Madeline,72,Female,2019
Isaiah,94,Male,2019
Heidi,72,Female,2019
Theo,94,Male,2019
Chelsea,72,Female,2019
Oliver,616,Male,2018
Charlotte,530,Female,2018
William,567,Male,2018
Amelia,488,Female,2018
Noah,539,Male,2018
Olivia,474,Female,2018
Jack,517,Male,2018
Mia,471,Female,2018
Henry,405,Male,2018
Ava,430,Female,2018
