First Name,Amount,Position
"ANHADPREET","1","=912"
"ANIRUDDHA","1","=912"
"ANISH","1","=912"
"ANIV","1","=912"
"ANSHDEEP","1","=912"
"ANSON","1","=912"
"ANTONI-JAMES","1","=912"
"ANTONY","1","=912"
"ANVIK","1","=912"
"APENISA","1","=912"
"APOSTOLI","1","=912"
"AQUILA","1","=912"
"ARAJDEEP","1","=912"
"ARAPETI","1","=912"
"ARASH","1","=912"
"ARATHORN","1","=912"
"ARBAAZ","1","=912"
"ARBAB","1","=912"
"ARDN","1","=912"
"ARES","1","=912"
"ARHAAB","1","=912"
"ARHIT","1","=912"
"ARIAN","1","=912"
"ARICH","1","=912"
"ARIEL","1","=912"
"ARIN","1","=912"
"ARISTIDES","1","=912"
"ARIYAAN","1","=912"
"ARKADIUS","1","=912"
"ARKAN","1","=912"
"ARLEE","1","=912"
"ARLO-JAMES","1","=912"
"ARMAANVEER","1","=912"
"ARMANI","1","=912"
"ARMINIUS","1","=912"
"ARNAV","1","=912"
"ARNE","1","=912"
"ARNIE","1","=912"
"ARNO","1","=912"
"ARSALAN","1","=912"
"ARSAM","1","=912"
"ARSYAKA","1","=912"
"ARTAN","1","=912"
"ARTYOM","1","=912"
"ARUJ","1","=912"
"ARUSH","1","=912"
"ARVI","1","=912"
"ARVID","1","=912"
"ARVIK","1","=912"
"ARWYN","1","=912"
"ARYA","1","=912"
"ARYAAN","1","=912"
"ARYAS","1","=912"
"ARYAV","1","=912"
"ASA","1","=912"
"ASGHAR","1","=912"
"ASHBY","1","=912"
"ASHE","1","=912"
"ASHLEY","1","=912"
"ASHRAF","1","=912"
"ASHRAFF","1","=912"
"ASHTAR","1","=912"
"ASHTEN","1","=912"
"ASHTON-ZANDER","1","=912"
"ASHVIN","1","=912"
"ASHVIR","1","=912"
"ASHWIN","1","=912"
"ASIMAKIS","1","=912"
