Given Name,Number,Position
AURELA,1,839
AURORA-ROSE,1,839
AUSRA,1,839
AVA-ROSE,1,839
AVAIYA,1,839
AVANNAH,1,839
AVERIE,1,839
AVERLY,1,839
AVI,1,839
AVIANA,1,839
AVIE,1,839
AVNEE,1,839
AVNEET,1,839
AVOCA,1,839
AVRIL,1,839
AVYANA,1,839
AWANI,1,839
AWIEL,1,839
AWUOK,1,839
AXELLE,1,839
AYA,1,839
AYANA,1,839
AYASHIA,1,839
AYAT,1,839
AYDAN,1,839
AYEESHA,1,839
AYEISHA,1,839
AYEN,1,839
AYLIN,1,839
AZALIAH,1,839
AZALIYAH,1,839
AZARIA-GRACE,1,839
B'ELANNA,1,839
BAANI,1,839
BABY,1,839
BAILEIGH,1,839
BALREET,1,839
BANI,1,839
BANSARI,1,839
BANVEET,1,839
BARIRA,1,839
BATUL,1,839
BAYAN,1,839
BAYLEE,1,839
BEATRICE,1,839
BEATRIZ,1,839
BEAU,1,839
BEKKI,1,839
BELLA-LE,1,839
BELLA-SOFIA,1,839
BELLARANI,1,839
BELLE,1,839
BENITA,1,839
BERNADETTE,1,839
BERNICE,1,839
BESS,1,839
BESSIE,1,839
BETTY,1,839
BHAVYA,1,839
BIHAANI,1,839
BILEN,1,839
BILLIE-JADE,1,839
BINDARRAY,1,839
BLAIRE,1,839
BLESSING,1,839
BOBBI,1,839
BOBBIE,1,839
BONNI,1,839
BOR,1,839
BOWIE,1,839
BOXUAN,1,839
BRIAR,1,839
BRIDGETT,1,839
BRIGITTE,1,839
BRITNEY,1,839
BRODIE,1,839
BROOKELYN,1,839
BROOKLYNNE,1,839
BRYNN,1,839
BYLASAN,1,839
CADENCE,1,839
CALAIS,1,839
CALISTA,1,839
CALLY,1,839
CAMELLIA,1,839
CAMERON,1,839
CAMRYN,1,839
CAPRI,1,839
CARISSA,1,839
CARLY,1,839
CARMELA,1,839
CARMELINA,1,839
CARMEN,1,839
CARTER,1,839
CARTIA,1,839
CASSEY,1,839
CASSIDY,1,839
CATALAYA,1,839
CATALEIA,1,839
CATALEYA,1,839
CATALIA,1,839
CATALINA,1,839
CATHY,1,839
CATIA,1,839
CAYLA,1,839
CECELIA-ROSE,1,839
CEEJAY,1,839
CELESTINE,1,839
CELIA,1,839
CELINA-SUZANNE,1,839
CEYLON,1,839
CEYLONI,1,839
CHAITRI,1,839
CHANEL,1,839
CHANELLE,1,839
CHANTE,1,839
CHARLEE-ROSE,1,839
CHARLEY,1,839
CHARLIE-ROSE,1,839
CHARLOTTE-ANNE,1,839
CHARMAINE,1,839
CHENAY,1,839
CHENULI,1,839
CHERESSE,1,839
CHEREVEY,1,839
CHERRY,1,839
CHESTA,1,839
CHEVY,1,839
CHEYENNE,1,839
CHIBUZO,1,839
CHILLI,1,839
CHIMAMANDA,1,839
CHISIMNULIA,1,839
CHLOIE,1,839
CHLOÉ,1,839
CHOLE,1,839
CHRISTEL,1,839
CHRISTIANA,1,839
CHRISTY,1,839
CIENNA,1,839
CIIN,1,839
CINDY,1,839
CIUNAS,1,839
CLAIRA,1,839
CLARISSA,1,839
CLARKE,1,839
CLEOPATRA,1,839
CLEYO,1,839
CLIO,1,839
CLORIA,1,839
CLORIS,1,839
CLOVA,1,839
COBIE,1,839
CODEE,1,839
COLETTE,1,839
COLLEEN,1,839
COLLETTE,1,839
CONSTANCE,1,839
CONSTANTINA,1,839
CORALIE,1,839
CORINA,1,839
CORTANA,1,839
COURTNEY,1,839
COZI,1,839
CRYSTAL,1,839
CYAN,1,839
CYDI,1,839
CZABINA,1,839
DAANISH,1,839
DACEY,1,839
DAHEE,1,839
DAHLIA,1,839
DAIY,1,839
DAIZY,1,839
DAKBAI,1,839
DAKODA,1,839
DALAL,1,839
DALILAH,1,839
DAMIA,1,839
DANAH,1,839
DANI,1,839
DANICA,1,839
DANIELA,1,839
DANIELLE,1,839
DANNIE,1,839
DANNIELLA,1,839
DARCII,1,839
DARIA,1,839
DARYA,1,839
DATAAR,1,839
DAVIITAAH,1,839
DAVINAH,1,839
DAWT,1,839
DAWTHLEI,1,839
DAYLA,1,839
DAYNA,1,839
DEKOTA,1,839
DEKOTAHLEE,1,839
DELANEY,1,839
DELELE,1,839
DELIA,1,839
DELILAH-GRACE,1,839
DELINA,1,839
DELLANCY,1,839
DELPHINE,1,839
DELYLAH,1,839
DEMITRA,1,839
DENA,1,839
DENIELLA,1,839
DENIZ,1,839
DENNE,1,839
DENOH,1,839
DENZELLE,1,839
DESPINA,1,839
DESTINEY,1,839
DEVIKA,1,839
DEVISHA,1,839
DEVOCEAN,1,839
DHUN,1,839
DI,1,839
DIA,1,839
DILNAAZ,1,839
DILSHAAN,1,839
DIMA,1,839
DIME,1,839
DIMITRIA,1,839
DINGLING,1,839
DINUKI,1,839
DISHITHA,1,839
DIVA,1,839
DIVINE,1,839
DIXIE,1,839
DIYENKA,1,839
DIYO,1,839
DOMENIQUE,1,839
DOMINIQUE,1,839
DOMONIQUE,1,839
DOROTEJA,1,839
DOT,1,839
DRAGANA,1,839
DRU,1,839
DUA,1,839
DUAA,1,839
DUR-E-SAMEEN,1,839
DUYEN,1,839
EADIE,1,839
EALLA,1,839
ECHO,1,839
EDA,1,839
EDDY,1,839
EDEY,1,839
EDITA,1,839
EDNA,1,839
EFTIHIA,1,839
EHA,1,839
EILE,1,839
EILEITHYIA,1,839
EIVA,1,839
EKAMJOT,1,839
ELA,1,839
ELAA,1,839
ELAF,1,839
ELAINE,1,839
ELAYNA,1,839
ELEANOAR,1,839
ELEENA,1,839
ELEESA,1,839
ELEFTERIA,1,839
ELEIGHNAH,1,839
ELEKTRA,1,839
ELENAH,1,839
ELEXIS,1,839
ELIANAH,1,839
ELINOR,1,839
