Name,Sex,Year,Count
HANNAH,Female,1999,208
MELISSA,Female,1990,208
MICHAEL,Male,2001,208
PATRICIA,Female,1960,208
SHARON,Female,1972,208
WAYNE,Male,1970,208
WILLIAM,Male,1963,208
ANGELA,Female,1975,207
ANGELA,Female,1982,207
CRAIG,Male,1965,207
DAVID,Male,1995,207
ETHAN,Male,1998,207
HANNAH,Female,1995,207
JAKE,Male,2005,207
JENNIFER,Female,1972,207
SARAH,Female,2004,207
TANYA,Female,1970,207
TROY,Male,1976,207
ALEXANDER,Male,2000,206
CAITLIN,Female,1998,206
DEBORAH,Female,1966,206
GARY,Male,1963,206
JAKE,Male,2001,206
JAMES,Male,1968,206
JENNIFER,Female,1971,206
JOEL,Male,1991,206
KYLE,Male,1999,206
LISA,Female,1984,206
MIA,Female,2004,206
NICOLE,Female,1989,206
SCOTT,Male,1966,206
SHANE,Male,1982,206
TROY,Male,1979,206
AARON,Male,1980,205
BELINDA,Female,1980,205
BRADLEY,Male,1974,205
BRIAN,Male,1960,205
CAMERON,Male,1993,205
GARY,Male,1965,205
LAUREN,Female,1984,205
SHANE,Male,1961,205
ALEXANDER,Male,1990,204
CAMERON,Male,1991,204
CONNOR,Male,1996,204
DEBORAH,Female,1965,204
JACKSON,Male,2004,204
JACOB,Male,1991,204
JODIE,Female,1971,204
KELLY,Female,1978,204
LAUREN,Female,1993,204
LAUREN,Female,1996,204
MARK,Male,1987,204
NATALIE,Female,1976,204
REBECCA,Female,1998,204
SHANE,Male,1962,204
AMANDA,Female,1969,203
BAILEY,Male,2004,203
BELINDA,Female,1977,203
BRADLEY,Male,1970,203
BRADLEY,Male,1980,203
BRENDAN,Male,1987,203
CAMERON,Male,1989,203
ELIZABETH,Female,1962,203
HARRISON,Male,1999,203
HAYDEN,Male,1995,203
JOANNE,Female,1970,203
JOANNE,Female,1971,203
KENNETH,Male,1960,203
LAUREN,Female,1992,203
RICHARD,Male,1970,203
ZACHARY,Male,1995,203
ZACHARY,Male,1998,203
JACKSON,Male,2005,202
PATRICIA,Female,1961,202
ROBERT,Male,1989,202
TANYA,Female,1976,202
AMY,Female,1994,201
ANDREW,Male,1960,201
BRETT,Male,1977,201
BRETT,Male,1979,201
CAMERON,Male,1988,201
COOPER,Male,2004,201
ELIZABETH,Female,1964,201
HANNAH,Female,1998,201
JAMES,Male,1963,201
JESSE,Male,1998,201
KAREN,Female,1975,201
NATHAN,Male,1976,201
ANGELA,Female,1984,200
ASHLEIGH,Female,1990,200
BAILEY,Male,1999,200
CHRISTOPHER,Male,1998,200
DANIELLE,Female,1990,200
GARY,Male,1964,200
JACKSON,Male,2002,200
JACKSON,Male,2003,200
JAYDEN,Male,1996,200
KIM,Female,1967,200
SCOTT,Male,1964,200
ALEXANDER,Male,2004,199
ANGELA,Female,1979,199
BELINDA,Female,1978,199
HAYDEN,Male,1996,199
JAKE,Male,2003,199
JAKE,Male,2004,199
JOSHUA,Male,1981,199
NICOLE,Female,1988,199
PAUL,Male,1984,199
THOMAS,Male,1985,199
ZACHARY,Male,1996,199
ANGELA,Female,1985,198
DANIELLE,Female,1987,198
JACKSON,Male,2000,198
JAKE,Male,1991,198
JODIE,Female,1974,198
JULIE,Female,1974,198
KIM,Female,1966,198
LEANNE,Female,1969,198
LINDA,Female,1961,198
SANDRA,Female,1969,198
SANDRA,Female,1972,198
TANYA,Female,1972,198
TIMOTHY,Male,1994,198
AMANDA,Female,1989,197
BRETT,Male,1978,197
CAMERON,Male,1990,197
COURTNEY,Female,1999,197
HAYDEN,Male,2003,197
JACK,Male,1991,197
JAYDEN,Male,1997,197
KELLY,Female,1983,197
KEVIN,Male,1965,197
LEANNE,Female,1960,197
RACHEL,Female,1992,197
STEPHANIE,Female,1989,197
WENDY,Female,1962,197
WILLIAM,Male,1992,197
ADAM,Male,1992,196
BRADLEY,Male,1962,196
BRANDON,Male,1998,196
EMILY,Female,1989,196
HELEN,Female,1969,196
JOANNE,Female,1964,196
JORDAN,Male,2004,196
