"","name","number","sex","year"
"752","Emilia",96,"Female",2020
"753","Thea",93,"Female",2020
"754","Billie",93,"Female",2020
"755","Phoebe",90,"Female",2020
"756","Ayla",90,"Female",2020
"757","Harriet",87,"Female",2020
"758","Emma",87,"Female",2020
"759","Savannah",84,"Female",2020
"760","Summer",83,"Female",2020
"761","Peyton",83,"Female",2020
"762","Imogen",81,"Female",2020
"763","Daisy",81,"Female",2020
"764","Elizabeth",80,"Female",2020
"765","Eloise",79,"Female",2020
"766","Claire",79,"Female",2020
"767","Adeline",79,"Female",2020
"768","Stella",76,"Female",2020
"769","Remi",76,"Female",2020
"770","Millie",75,"Female",2020
"771","Jasmine",74,"Female",2020
"772","Delilah",74,"Female",2020
"773","Bonnie",74,"Female",2020
"774","Piper",73,"Female",2020
"775","Sadie",70,"Female",2020
"776","Eva",70,"Female",2020
"777","Indiana",69,"Female",2020
"778","Quinn",68,"Female",2020
"779","Sofia",68,"Female",2020
"780","Olive",67,"Female",2020
"781","Holly",64,"Female",2020
"782","Aubrey",63,"Female",2020
"783","Aaliyah",63,"Female",2020
"784","Brooklyn",62,"Female",2020
"785","Harlow",61,"Female",2020
"786","Bella",60,"Female",2020
"787","Lola",59,"Female",2020
"788","Rose",58,"Female",2020
"789","Lilly",55,"Female",2020
"790","Hallie",55,"Female",2020
"791","Pippa",54,"Female",2020
"792","Charlie",54,"Female",2020
"793","Maggie",53,"Female",2020
"794","Clara",53,"Female",2020
"795","Chelsea",53,"Female",2020
"796","Paige",52,"Female",2020
"797","Lillian",52,"Female",2020
"798","Eliza",52,"Female",2020
"799","Annabelle",52,"Female",2020
"800","Rosie",51,"Female",2020
"801","Hayley",51,"Female",2020
"802","Maddison",50,"Female",2020
"803","Elena",50,"Female",2020
"804","Gracie",50,"Female",2020
"805","Oliver",537,"Male",2019
"806","William",393,"Male",2019
"807","Noah",383,"Male",2019
"808","Jack",331,"Male",2019
"809","Henry",291,"Male",2019
"810","Leo",289,"Male",2019
"811","Thomas",285,"Male",2019
"812","Hudson",270,"Male",2019
"813","Elijah",268,"Male",2019
"814","Harrison",265,"Male",2019
"815","James",256,"Male",2019
"816","Charlie",246,"Male",2019
"817","Theodore",245,"Male",2019
"818","Lucas",239,"Male",2019
"819","Hunter",239,"Male",2019
"820","Liam",238,"Male",2019
"821","Cooper",225,"Male",2019
"822","Archer",225,"Male",2019
"823","Mason",222,"Male",2019
"824","Archie",203,"Male",2019
"825","Lachlan",202,"Male",2019
"826","Lincoln",194,"Male",2019
"827","Oscar",193,"Male",2019
"828","Alexander",192,"Male",2019
"829","Harry",184,"Male",2019
"830","Harvey",184,"Male",2019
"831","Carter",182,"Male",2019
"832","Arlo",182,"Male",2019
"833","Max",180,"Male",2019
"834","Levi",177,"Male",2019
"835","Samuel",174,"Male",2019
